date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:33	65230/65230	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/bandeira-06.webp?v=1687893668	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/bandeira-066051.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-brazilian-green)
14:52:34	66963/66963	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/bandeira-12.webp?v=1687893668	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/bandeira-126051.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-brazilian-green)
14:52:35	66963/66963	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/bandeira-12_1024x1024.webp?v=1687893668	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/bandeira-12_1024x10246051.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-brazilian-green)
14:52:36	5443/5443	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/bandeira-10.webp?v=1687893663	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/bandeira-101183.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-brazilian-green)
14:52:36	5443/5443	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/bandeira-10_1024x1024.webp?v=1687893663	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/bandeira-10_1024x10241183.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-brazilian-green)
14:52:38	57796/57796	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-10.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-103e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:39	47391/47391	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-02.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-023e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:40	47391/47391	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-02_1024x1024.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-02_1024x10243e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:40	866/866	UR-MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:214d5e8ddbd4e05fd68ef86c02a97092%22	https://sunsecrets.no/products/rainbow-bikini-army-green.oembed	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/products/rainbow-bikini-army-green.oembed	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:41	47168/47168	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-04.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-043e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:42	47168/47168	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-04_1024x1024.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-04_1024x10243e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:42	53809/53809	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-03.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-033e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:44	53809/53809	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-03_1024x1024.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-03_1024x10243e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:44	60129/60129	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-13.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-133e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:45	60129/60129	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-13_1024x1024.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-13_1024x10243e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:45	103240/-1	---M--	200	added ('OK')	text/html	etag:W/%22cacheable:66f6ace42d5211e5e9a9e9d1facdd0d4%22	https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-red	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-red.html	(from https://sunsecrets.no/)
14:52:46	58491/58491	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/military-12.webp?v=1687893292	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/military-123e30.jpg	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:52:46	0/-1	---M--	302	error ('')			https://sunsecrets.no/checkout	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/checkout.445.delayed	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-red)
